Antiguedad_Meses,Score_Satisfaccion,Productos_Activos,Balance_Cuenta,Transacciones_Mes,Target_Churn
83,5,1,928.0163684241129,8,0
32,4,4,7799.943880296147,18,0
45,5,1,3742.6215598397384,18,0
78,1,3,9629.087045399887,12,0
35,4,2,5750.265062426283,15,0
67,2,1,10187.15090248577,6,1
107,4,2,4863.377088512457,10,0
61,3,4,5486.37186717239,12,0
43,5,4,4547.1714635523085,15,0
97,2,3,9606.74706662452,8,0
39,3,4,1657.5618871574693,18,0
60,1,3,7956.1469993165665,10,0
118,1,3,14283.350275072988,8,0
41,3,1,0.0,12,0
52,4,2,9809.199578236265,15,0
100,4,2,4029.533915793224,8,0
67,1,1,5814.982365461239,9,1
83,2,1,7022.789409140135,10,0
100,1,2,8407.906627104197,13,0
18,3,2,2212.143986979402,11,0
30,1,4,7307.65920172999,11,0
117,3,4,52.92731857113267,10,0
77,2,2,6537.194604236075,9,0
37,4,1,5774.4599594045885,16,0
103,5,2,981.3840961712572,7,0
78,2,1,9533.973883659502,9,0
57,5,3,6772.860868331065,13,0
80,3,3,8455.964754336766,12,0
99,2,1,8425.88221118728,9,1
109,4,1,0.0,15,0
99,4,4,0.0,13,0
97,5,3,5750.425198270026,9,0
6,4,3,2137.9397571007175,13,0
61,5,4,5349.562988800088,7,0
68,5,2,521.8698440112457,10,0
49,4,1,2463.564663853774,10,0
115,4,4,5916.2601879335325,11,0
97,5,4,8883.054949159749,14,0
88,2,4,7260.29214911927,11,0
55,2,2,6120.163020531902,16,0
94,1,2,2991.3482972882675,13,0
54,1,3,9601.548457563049,10,1
84,4,3,9089.05980318607,10,0
16,4,2,2941.3027209302454,7,0
66,2,1,10337.911860396373,19,0
65,2,4,11865.322275435883,10,0
65,5,4,6643.609417782198,12,0
98,2,3,5136.510634932085,15,0
111,4,1,149.94335178811252,11,0
50,4,3,6336.219032896893,8,0
94,2,4,3592.4876569325806,10,0
58,1,2,9700.43162122343,22,1
99,4,1,3456.768744776582,16,0
114,1,4,6123.263508717463,9,0
27,5,1,4731.111959837064,8,0
83,4,3,1711.7911373561128,8,0
68,3,2,11164.11621573353,10,0
58,2,2,4999.791362049519,11,0
111,1,3,6362.960809068038,13,0
64,3,1,5795.983814956613,7,1
67,4,2,11849.547345666266,15,0
39,4,1,2569.669257774251,9,0
51,1,4,7000.466515784475,14,1
30,4,2,0.0,19,0
24,2,3,3789.5396559800283,11,0
86,2,2,7293.133210931026,14,0
115,1,3,0.0,11,0
61,4,1,3636.401244685479,9,0
33,2,3,13677.974719763835,9,0
68,2,4,1580.864685392984,12,0
24,4,3,7172.55772565921,8,0
68,2,2,4075.3465923667914,7,0
62,1,2,8708.087365420499,12,0
48,3,2,8674.461690540847,12,0
102,5,3,6559.588205465761,10,0
80,3,4,832.8925921593682,15,0
73,4,2,5651.527096423111,11,0
94,1,2,6420.2138162069805,11,0
64,3,2,5720.487358273451,13,0
13,2,1,8066.180152813302,13,0
24,2,4,0.0,8,0
71,2,1,1887.0023640529835,10,0
25,1,3,9563.328068969975,13,0
115,2,4,3386.7327482316105,8,0
100,1,3,10835.2362278416,13,1
25,2,1,3609.6123908904765,12,0
80,5,1,12795.259007332217,14,0
95,4,1,7527.973782877247,9,0
8,4,1,7465.364236340574,10,0
94,3,3,1753.5037507458323,7,0
38,4,4,5536.11739505234,13,0
83,4,4,5529.822636573093,17,0
41,5,1,2331.8861830601895,9,0
81,2,1,9324.32324451462,12,0
104,5,2,7884.1107368111225,19,0
85,1,2,12135.511844988432,11,0
39,5,1,2287.2395575082296,15,0
112,3,1,7656.421292811923,15,0
104,5,3,5907.7857950140915,9,0
118,3,2,13113.870276843103,16,0
65,1,3,2660.98231692129,6,0
27,3,3,0.0,10,0
26,4,3,5151.271377537755,9,0
9,3,3,0.0,8,0
13,2,1,5096.471962511375,13,0
26,4,4,0.0,14,0
19,2,1,0.0,10,0
104,3,2,7107.162294317948,9,0
22,4,4,6169.048816472791,16,0
46,4,4,5269.3453585146235,14,0
89,1,1,0.0,13,0
96,2,1,2951.0817921518724,13,0
20,1,1,2699.2018109514684,9,1
35,4,3,2013.7124248326104,14,0
6,4,1,1364.156596646285,20,0
54,5,1,8705.647034197329,10,0
48,1,3,10348.5227692818,8,0
80,4,3,4948.046694813724,7,0
53,5,4,8055.6556857153155,9,0
10,1,4,8236.975470340525,11,1
96,1,4,9493.097572782754,18,0
84,5,3,1273.1174615685532,9,0
12,5,3,6902.992648216845,16,0
31,1,1,5957.114176009917,13,0
76,3,4,6166.03116803031,16,0
43,1,2,2446.90259863043,11,0
75,4,3,603.2481783630001,5,0
55,5,4,12553.03793938657,8,0
99,3,4,4095.985601765059,9,0
29,1,2,4867.263914587547,12,0
11,3,4,0.0,8,0
49,3,2,13118.464862009772,9,0
95,3,3,4635.283261348562,15,0
105,3,2,1364.993727869713,9,0
44,1,2,0.0,12,0
56,4,1,5018.73613770668,13,0
88,5,4,3303.6583590776186,13,0
44,1,3,2433.576602205183,13,0
51,5,1,7833.973299192072,16,0
38,1,1,1272.5052863968203,7,1
99,5,3,4310.674851413355,12,0
62,3,2,4399.32831507284,12,0
84,5,4,1503.7321227631787,11,0
23,2,1,0.0,12,1
77,5,4,7644.9523589793735,15,0
24,3,4,4823.414228826291,12,0
100,3,4,7453.748125913156,10,0
47,2,4,5426.680161391042,12,0
39,3,4,11691.55309635685,11,0
118,1,1,4659.331593663924,14,1
95,1,4,3211.08127242852,7,0
7,3,1,6366.886015496895,18,1
49,5,4,12084.891631410526,8,0
16,2,3,0.0,10,0
119,2,3,16344.061430559705,18,0
56,1,3,8258.143236243035,13,0
19,3,1,4726.444954050222,10,0
57,2,4,9974.202023158592,15,0
58,1,4,0.0,13,0
72,1,3,11812.05392916693,12,0
29,5,1,5153.218556527191,11,0
30,5,1,2488.189035721925,10,0
42,4,4,3252.6561588978198,11,0
105,4,3,7449.3967394040465,10,0
36,4,1,10344.480213593344,10,0
56,1,1,11227.160997683317,14,1
19,3,1,12151.891212998533,16,1
84,3,3,0.0,13,0
42,5,2,6323.85630366479,12,0
10,1,3,7785.826880080143,15,0
108,3,4,5257.469179741712,12,0
81,3,3,3729.1285185798433,15,0
12,5,2,9439.597993265379,13,0
54,3,3,8710.53159114223,14,0
88,2,3,2164.1695484777083,16,0
25,3,4,6414.936409467716,6,0
80,1,3,1042.6313829424616,13,0
96,4,1,8758.648754880085,6,0
67,1,2,2715.474001055504,15,0
106,2,2,6150.205558633865,14,1
6,2,1,0.0,14,0
30,4,2,4035.0585918503893,17,0
54,3,1,10091.372711896754,12,0
67,1,1,1046.665928471832,9,1
29,3,1,0.0,14,0
106,3,2,8876.035976935531,13,0
102,1,2,5011.089768251963,15,0
79,5,1,11037.634379766554,16,0
112,2,3,13355.132271709675,6,0
107,5,3,7526.725328597027,7,0
42,5,4,5101.066085448129,11,0
52,2,3,1561.6785104887172,16,1
39,1,4,0.0,16,0
82,2,1,1272.9225857429556,10,0
103,2,1,14711.04471150463,9,0
49,2,3,7526.9609906909045,10,0
99,5,4,12289.226459750971,7,0
29,4,4,5164.407284781931,14,0
80,1,3,7772.732185757221,13,0
90,4,2,6054.893744398394,14,0
86,2,3,5231.126803535953,11,0
14,2,2,1216.2391805985512,10,0
106,5,1,6596.524964453438,14,0
103,5,2,6489.534933953703,10,0
79,2,1,12266.674683094427,8,1
35,3,1,6517.474532002188,21,0
34,3,2,9540.753646492907,11,0
63,1,2,2347.5971357825533,11,1
56,3,1,7256.042454447548,7,0
50,5,4,6126.028310158861,14,0
87,1,3,4543.965412902115,13,0
118,1,2,4990.27817070693,10,1
54,3,3,5940.319937419565,9,0
47,4,1,7004.184616307947,15,0
81,5,3,7027.071024770157,10,0
102,2,4,10060.316629751665,13,0
6,1,3,6368.269789831922,12,0
79,5,2,0.0,14,0
44,5,1,8424.541527257868,16,0
65,3,3,0.0,13,0
94,5,4,4338.404553654627,10,0
98,3,2,8755.795689374216,11,0
104,4,2,13384.751994119755,12,0
30,3,1,8593.576278414857,11,0
52,3,2,0.0,12,0
93,1,2,13399.46733602656,19,0
55,4,1,3384.2015779595713,14,0
70,2,1,6438.808659332457,10,0
98,1,3,7751.831123377402,15,0
87,4,3,9645.710621311451,15,0
89,4,4,2592.763906966061,4,0
74,4,1,6841.236374474545,12,0
33,5,4,7097.869497502212,14,0
42,5,1,9099.797473725059,14,0
38,1,3,8596.27614504825,16,0
69,3,2,0.0,14,0
97,5,2,5676.902799872427,20,0
91,1,1,3352.674477967411,13,1
31,1,2,9801.548748863133,10,1
104,4,4,11859.355650779547,9,0
42,1,2,7861.121668507372,14,0
107,5,4,3263.4233632547534,11,0
53,5,4,2551.6459136409317,11,0
15,4,3,8288.949725161714,16,0
35,4,2,6895.673008917391,11,0
102,1,3,4746.573128201575,8,1
48,3,1,17898.1474151429,9,1
40,3,2,6997.673211340283,10,0
66,2,1,1985.5152052763492,8,0
34,1,3,6767.055245252874,11,0
71,3,4,291.0049099305852,10,0
18,2,3,10267.176995509497,9,1
29,3,2,6624.284407166216,10,0
24,3,3,7087.888555613936,14,0
97,5,4,11788.937458940887,14,0
100,4,4,0.0,14,0
95,1,4,5740.507797378708,7,0
72,3,2,8755.977768236633,10,0
26,2,3,2408.8505364379007,8,0
48,2,3,9373.60462074112,13,0
55,4,2,0.0,7,0
99,3,3,702.8454190614375,12,0
16,4,1,10148.99770452105,14,1
