,Ocupacion_Porcentaje,PickUp_Rate,Precio_Competencia_Euro,Mes,Dia_Semana,Precio_Optimo_ADR
2022-01-01,67.26189375777928,9.562771036661058,118.61276040134949,1,5,113.00654666526384
2022-01-02,80.6529948934273,8.560131749408182,105.1017572027911,1,6,119.75323583253072
2022-01-03,66.29106955381644,10.696566751906344,106.35719304662304,1,0,115.76210811534261
2022-01-04,48.83379941592862,6.6901430937798265,106.37787721603914,1,1,85.3416778478084
2022-01-05,45.71865039285451,6.538944246959293,103.1235750106348,1,2,88.41421269241022
2022-01-06,48.25844097094923,7.387932810930716,104.97930254699779,1,3,92.13806847315534
2022-01-07,50.34226042273713,7.477992149415009,118.56985379142546,1,4,100.98142280267398
2022-01-08,70.3796247001679,9.054187725423091,104.56015171455532,1,5,113.36248221027753
2022-01-09,68.76785022364501,9.132669323153404,89.89068693551974,1,6,97.85910148760149
2022-01-10,55.064800185496885,6.769662838093632,107.65185725836946,1,0,96.24586781378873
2022-01-11,53.798923595402655,7.338142461555766,101.3866136413654,1,1,104.4656302940914
2022-01-12,40.17357490409513,6.010692046953318,98.44324883745804,1,2,79.43392189971951
2022-01-13,38.75392069373878,5.858372182358999,112.84183392823988,1,3,80.12208363433426
2022-01-14,47.22933485175071,7.366213665302077,109.25799021979623,1,4,97.65034651123722
2022-01-15,61.97180804850507,8.091438836054689,116.36183447002044,1,5,103.92237290430799
2022-01-16,70.62654811534226,8.943174177531144,104.71716538712852,1,6,110.77428196316104
2022-01-17,57.771611219852545,7.95875378501938,112.49168246950501,1,0,94.4210078655088
2022-01-18,53.83214816241855,6.602089701403557,103.88451438667792,1,1,94.91537983122242
2022-01-19,38.990962399278004,5.186160738396829,97.23651536936522,1,2,79.77110156520422
2022-01-20,43.70531479768512,5.900776580976332,94.94566343334682,1,3,82.61294174594074
2022-01-21,53.73389594332397,8.14363747093132,108.84624026778535,1,4,96.17456897467288
2022-01-22,60.66726721193947,6.437797295026538,103.007335196085,1,5,89.2912698830755
2022-01-23,71.01028270408978,9.844848107351819,113.52510782559393,1,6,123.12357715069976
2022-01-24,64.26935152071358,8.190781906220435,117.543474022856,1,0,103.73568668742584
2022-01-25,46.1530303652996,7.44855544510979,101.08999555727536,1,1,83.68866285200703
2022-01-26,33.23861799541956,3.8755850108524146,99.20633968375267,1,2,76.83327153754563
2022-01-27,47.70155031013319,6.136025296925932,109.64564646924507,1,3,84.69386207460632
2022-01-28,66.80316878010792,8.71996670362224,105.73858639832791,1,4,113.29411351112431
2022-01-29,59.11744084627196,6.8137753918235955,112.01457784129036,1,5,97.56410062409951
2022-01-30,68.54419353902242,10.193087819953101,103.79226013028912,1,6,112.35990125400471
2022-01-31,62.45988977271591,8.476962790738288,113.98140530586102,1,0,104.97833052596562
2022-02-01,52.10302442862685,8.363787607285843,112.54935490546647,2,1,94.19611047036825
2022-02-02,36.02250083349186,5.440804680255635,112.98278238238701,2,2,82.63660864750905
2022-02-03,43.78127440373247,6.286141312186185,114.08435262730312,2,3,91.92876213639504
2022-02-04,57.77679240507705,8.180406373167258,107.27444641057855,2,4,102.44782293068498
2022-02-05,71.53877909240148,8.55728976553274,110.77081777390273,2,5,128.0468041502573
2022-02-06,76.79141572112621,11.06528851343175,127.56468778270829,2,6,128.70824033055493
2022-02-07,57.99916720765097,7.625883650049405,124.46971723246972,2,0,107.37877250917106
2022-02-08,44.20698379879799,7.645472914345752,118.79940075466791,2,1,95.87102023610434
2022-02-09,36.085290951176745,7.117459104127047,115.02359817166905,2,2,81.28280888472811
2022-02-10,41.2799440912335,7.086140779383759,120.8985354615635,2,3,96.2918098984999
2022-02-11,53.67793860206536,8.160548764957653,122.14219552271035,2,4,101.77047308351932
2022-02-12,62.22384447960489,8.538500119917963,115.84225607417001,2,5,111.74230417602774
2022-02-13,75.84412073780351,9.971970278525857,125.59097478234368,2,6,122.80565565328122
2022-02-14,53.97963856856376,6.609262000730919,111.81040758682737,2,0,98.57095486856898
2022-02-15,39.542882624458606,5.197450050736494,121.52229493613251,2,1,90.14628870671174
2022-02-16,38.79232012954791,6.493571754500029,117.12461585214133,2,2,79.51387058956965
2022-02-17,43.76703944331061,5.420218454017638,117.32706124631956,2,3,82.73377571026677
2022-02-18,56.73072675176389,8.658131249035291,123.95496727319644,2,4,102.67586200096366
2022-02-19,62.036188385737105,7.476300185208865,111.20823200073129,2,5,104.16490925180699
2022-02-20,62.52630517149072,6.9997947638711455,117.69456514536849,2,6,108.96373955836584
2022-02-21,63.06939987539011,10.007921208704575,119.24226984946571,2,0,110.70699086341918
2022-02-22,42.07749813765523,5.0969405222999535,113.97371827742651,2,1,92.19725177301511
2022-02-23,41.17960381405351,7.043479395388222,118.24077898815851,2,2,84.54651953371533
2022-02-24,45.54515423164326,5.6365124626137355,118.93621388765374,2,3,96.91619211070106
2022-02-25,51.4630442686003,7.34126511669286,117.26868150000224,2,4,91.81417354254484
2022-02-26,69.19652490233814,8.95320891357822,115.99191598400986,2,5,109.44545926938949
2022-02-27,70.31365093131544,10.036479964012422,119.56040814555126,2,6,110.62191249363131
